session_id,model,output_length,pre_gap,has_error,is_system_prompt_present,input_tokens,turn_number,turn_cost
swebench__astropy__astropy-12907__minimax,minimax-m2.5,52,0.0,1,1,9711,1,0.00151645
swebench__astropy__astropy-12907__minimax,minimax-m2.5,90,0.0457,1,1,9763,2,0.00156795
swebench__astropy__astropy-12907__minimax,minimax-m2.5,73,0.6918,1,1,10024,3,0.0015875499999999999
swebench__astropy__astropy-12907__minimax,minimax-m2.5,56,0.681,1,1,10201,4,0.00159455
swebench__astropy__astropy-12907__minimax,minimax-m2.5,54,0.6799,1,1,10737,5,0.00167265
swebench__astropy__astropy-12907__minimax,minimax-m2.5,70,0.6781,1,1,11122,6,0.0017488
swebench__astropy__astropy-12907__minimax,minimax-m2.5,83,0.6876,1,1,11340,7,0.0017964499999999998
swebench__astropy__astropy-12907__minimax,minimax-m2.5,78,0.6821,1,1,11558,8,0.0018234
swebench__astropy__astropy-12907__minimax,minimax-m2.5,64,1.7225,1,1,11740,9,0.0018346
swebench__astropy__astropy-13033__minimax,minimax-m2.5,132,0.0,1,1,12671,1,0.00205245
swebench__astropy__astropy-13033__minimax,minimax-m2.5,183,0.0489,1,1,12724,2,0.00211905
swebench__astropy__astropy-13033__minimax,minimax-m2.5,77,0.7141,1,1,13075,3,0.0020498
swebench__astropy__astropy-13033__minimax,minimax-m2.5,65,1.6945,1,1,13254,4,0.00206285
swebench__astropy__astropy-13033__minimax,minimax-m2.5,167,0.6876,1,1,13937,5,0.0022826
swebench__astropy__astropy-13033__minimax,minimax-m2.5,88,0.6914,1,1,14243,6,0.00223765
swebench__astropy__astropy-13033__minimax,minimax-m2.5,68,0.6933,1,1,14732,7,0.002288
swebench__astropy__astropy-13033__minimax,minimax-m2.5,92,0.6872,1,1,14937,8,0.00234635
swebench__astropy__astropy-13033__minimax,minimax-m2.5,77,16.9252,1,1,15233,9,0.0023735
swebench__astropy__astropy-13033__minimax,minimax-m2.5,86,0.6907,1,1,15572,10,0.0024346999999999997
swebench__astropy__astropy-13033__minimax,minimax-m2.5,644,0.0561,1,1,16862,11,0.0032699
swebench__astropy__astropy-13033__minimax,minimax-m2.5,74,1.2158,1,1,17838,12,0.0027608
swebench__astropy__astropy-13033__minimax,minimax-m2.5,63,10.2281,1,1,18057,13,0.0027809999999999996
swebench__astropy__astropy-13033__minimax,minimax-m2.5,71,0.6911,1,1,18234,14,0.00281675
swebench__astropy__astropy-13033__minimax,minimax-m2.5,135,1.2105,1,1,18519,15,0.0029330999999999997
swebench__astropy__astropy-13033__minimax,minimax-m2.5,85,0.7047,1,1,18952,16,0.00294055
swebench__astropy__astropy-13033__minimax,minimax-m2.5,175,1.2151,1,1,19624,17,0.00314485
swebench__astropy__astropy-13033__minimax,minimax-m2.5,855,0.0633,1,1,20145,18,0.004005
swebench__astropy__astropy-13033__minimax,minimax-m2.5,128,0.0842,1,1,21407,19,0.00335825
swebench__astropy__astropy-13033__minimax,minimax-m2.5,498,0.068,1,1,21804,20,0.0038433
swebench__astropy__astropy-13033__minimax,minimax-m2.5,68,0.712,1,1,22517,21,0.00345575
swebench__astropy__astropy-13033__minimax,minimax-m2.5,67,0.0518,1,1,22571,22,0.0034627
swebench__astropy__astropy-13033__minimax,minimax-m2.5,628,0.7133,1,1,23626,23,0.0042661
swebench__astropy__astropy-13033__minimax,minimax-m2.5,700,0.7266,1,1,26873,24,0.00483595
swebench__astropy__astropy-13033__minimax,minimax-m2.5,554,0.7266,1,1,27814,25,0.0048092
swebench__astropy__astropy-13033__minimax,minimax-m2.5,678,0.7201,1,1,28795,26,0.0050989500000000005
swebench__astropy__astropy-13033__minimax,minimax-m2.5,1171,1511.3727,1,1,30195,27,0.0058759
swebench__astropy__astropy-13033__minimax,minimax-m2.5,793,0.7142,1,1,31775,28,0.0056782
swebench__astropy__astropy-13033__minimax,minimax-m2.5,1232,0.7163,1,1,32863,29,0.00634625
swebench__astropy__astropy-13033__minimax,minimax-m2.5,111,0.7268,1,1,34662,30,0.00532695
swebench__astropy__astropy-13033__minimax,minimax-m2.5,109,0.0797,1,1,34716,31,0.00533275
swebench__astropy__astropy-13033__minimax,minimax-m2.5,353,0.7145,1,1,35178,32,0.005682649999999999
swebench__astropy__astropy-13033__minimax,minimax-m2.5,744,0.7218,1,1,35844,33,0.006232199999999999
swebench__astropy__astropy-13033__minimax,minimax-m2.5,833,0.065,1,1,37047,34,0.006515
swebench__astropy__astropy-13033__minimax,minimax-m2.5,752,0.7341,1,1,38220,35,0.006597799999999999
swebench__astropy__astropy-13236__minimax,minimax-m2.5,158,0.0,1,1,11570,1,0.0019171999999999998
swebench__astropy__astropy-13236__minimax,minimax-m2.5,178,0.0474,1,1,11623,2,0.0019481499999999998
swebench__astropy__astropy-13236__minimax,minimax-m2.5,61,0.7105,1,1,11977,3,0.0018666999999999998
swebench__astropy__astropy-13236__minimax,minimax-m2.5,168,0.6839,1,1,12771,4,0.00210885
swebench__astropy__astropy-13236__minimax,minimax-m2.5,91,0.6899,1,1,13064,5,0.0020642499999999997
swebench__astropy__astropy-13236__minimax,minimax-m2.5,161,0.6838,1,1,13709,6,0.0022414999999999996
swebench__astropy__astropy-13236__minimax,minimax-m2.5,72,0.6883,1,1,13989,7,0.0021811499999999998
swebench__astropy__astropy-13236__minimax,minimax-m2.5,81,0.0332,1,1,14044,8,0.00219975
swebench__astropy__astropy-13236__minimax,minimax-m2.5,72,0.6953,1,1,14976,9,0.0023292
swebench__astropy__astropy-13236__minimax,minimax-m2.5,74,0.6903,1,1,15209,10,0.0023664499999999995
swebench__astropy__astropy-13236__minimax,minimax-m2.5,86,0.6985,1,1,15430,11,0.0024133999999999996
swebench__astropy__astropy-13236__minimax,minimax-m2.5,85,0.1079,1,1,20741,12,0.0032089
