session_id,model,output_length,pre_gap,is_system_prompt_present,input_tokens,turn_number,has_error,turn_cost
gaia__L2_023e9d44-96ae-4e__claude,claude-sonnet-4-6,94,0.0,0,512,1,0,0.002946
gaia__L2_023e9d44-96ae-4e__claude,claude-sonnet-4-6,221,7.469,0,6290,2,0,0.022184999999999996
gaia__L2_023e9d44-96ae-4e__claude,claude-sonnet-4-6,913,4.6481,0,12283,3,0,0.050544
gaia__L2_023e9d44-96ae-4e__claude,claude-sonnet-4-6,731,3.805,0,17425,4,0,0.06324
gaia__L2_023e9d44-96ae-4e__claude,claude-sonnet-4-6,46,4.1733,0,21656,5,0,0.065658
gaia__L2_023e9d44-96ae-4e__claude,claude-sonnet-4-6,178,2.3985,0,26065,6,0,0.080865
gaia__L2_023e9d44-96ae-4e__claude,claude-sonnet-4-6,3358,2.4438,0,30936,7,0,0.143178
gaia__L2_023e9d44-96ae-4e__claude,claude-sonnet-4-6,84,3.6375,0,35243,8,0,0.10698899999999999
gaia__L2_04a04a9b-226c-43__claude,claude-sonnet-4-6,100,0.0,0,499,1,0,0.002997
gaia__L2_04a04a9b-226c-43__claude,claude-sonnet-4-6,227,7.8182,0,2123,2,0,0.009774
gaia__L2_04a04a9b-226c-43__claude,claude-sonnet-4-6,92,0.2573,0,2400,3,0,0.008579999999999999
gaia__L2_04a04a9b-226c-43__claude,claude-sonnet-4-6,66,0.0535,0,2530,4,0,0.00858
gaia__L2_04a04a9b-226c-43__claude,claude-sonnet-4-6,283,2.8054,0,3973,5,0,0.016163999999999998
gaia__L2_04a04a9b-226c-43__claude,claude-sonnet-4-6,858,0.0555,0,4300,6,0,0.02577
gaia__L2_04a04a9b-226c-43__claude,claude-sonnet-4-6,514,0.258,0,5223,7,0,0.023379000000000004
gaia__L2_04a04a9b-226c-43__claude,claude-sonnet-4-6,1163,0.0588,0,5674,8,0,0.034467
gaia__L2_04a04a9b-226c-43__claude,claude-sonnet-4-6,305,0.2623,0,7503,9,0,0.027084
gaia__L2_04a04a9b-226c-43__claude,claude-sonnet-4-6,2289,0.0617,0,7841,10,0,0.057858
gaia__L2_04a04a9b-226c-43__claude,claude-sonnet-4-6,47,0.2717,0,9606,11,0,0.029523
gaia__L2_04a04a9b-226c-43__claude,claude-sonnet-4-6,2237,8.7685,0,9826,12,0,0.06303299999999999
gaia__L2_04a04a9b-226c-43__claude,claude-sonnet-4-6,75,1.9325,0,11526,13,0,0.035703
gaia__L2_04a04a9b-226c-43__claude,claude-sonnet-4-6,333,0.2538,0,12137,14,0,0.041406
gaia__L2_04a04a9b-226c-43__claude,claude-sonnet-4-6,148,0.0594,0,12502,15,0,0.039726
gaia__L2_04a04a9b-226c-43__claude,claude-sonnet-4-6,105,1.5698,0,12898,16,0,0.040269
gaia__L2_04a04a9b-226c-43__claude,claude-sonnet-4-6,56,3.3128,0,13699,17,0,0.041936999999999995
gaia__L2_04a04a9b-226c-43__claude,claude-sonnet-4-6,101,1.6801,0,13804,18,0,0.04292700000000001
gaia__L2_05407167-39ec-4d__claude,claude-sonnet-4-6,64,0.0,0,446,1,0,0.0022979999999999997
gaia__L2_05407167-39ec-4d__claude,claude-sonnet-4-6,61,4.8441,0,829,2,0,0.003402
gaia__L2_05407167-39ec-4d__claude,claude-sonnet-4-6,86,1.5769,0,1216,3,0,0.0049380000000000005
gaia__L2_05407167-39ec-4d__claude,claude-sonnet-4-6,72,4.2639,0,2395,4,0,0.008265
gaia__L2_05407167-39ec-4d__claude,claude-sonnet-4-6,89,2.947,0,3569,5,0,0.012042
gaia__L2_05407167-39ec-4d__claude,claude-sonnet-4-6,69,2.4089,0,3903,6,0,0.012743999999999998
gaia__L2_05407167-39ec-4d__claude,claude-sonnet-4-6,100,3.1414,0,5063,7,0,0.016689
gaia__L2_05407167-39ec-4d__claude,claude-sonnet-4-6,122,3.2557,0,6262,8,0,0.020616000000000002
gaia__L2_05407167-39ec-4d__claude,claude-sonnet-4-6,97,17.7286,0,6409,9,0,0.020682000000000002
gaia__L2_05407167-39ec-4d__claude,claude-sonnet-4-6,97,32.9381,0,6534,10,0,0.021057000000000003
gaia__L2_05407167-39ec-4d__claude,claude-sonnet-4-6,134,1.1196,0,6660,11,0,0.021990000000000003
gaia__L2_05407167-39ec-4d__claude,claude-sonnet-4-6,147,9.663,0,6810,12,0,0.022635
gaia__L2_05407167-39ec-4d__claude,claude-sonnet-4-6,102,46.663,0,6967,13,0,0.022431
gaia__L2_05407167-39ec-4d__claude,claude-sonnet-4-6,133,3.5738,0,7490,14,0,0.024465
gaia__L2_05407167-39ec-4d__claude,claude-sonnet-4-6,194,26.0534,0,7754,15,0,0.026171999999999997
gaia__L2_05407167-39ec-4d__claude,claude-sonnet-4-6,105,5.6944,0,7940,16,0,0.025394999999999997
gaia__L2_05407167-39ec-4d__claude,claude-sonnet-4-6,103,1.4282,0,8069,17,0,0.025752
gaia__L2_05407167-39ec-4d__claude,claude-sonnet-4-6,115,18.2496,0,8305,18,0,0.02664
gaia__L2_05407167-39ec-4d__claude,claude-sonnet-4-6,104,2.2113,0,8441,19,0,0.026883
gaia__L2_05407167-39ec-4d__claude,claude-sonnet-4-6,130,1.6116,0,8569,20,0,0.027657
gaia__L2_05407167-39ec-4d__claude,claude-sonnet-4-6,116,10.7905,0,9107,21,0,0.029061
gaia__L2_076c8171-9b3b-49__claude,claude-sonnet-4-6,129,0.0,0,536,1,0,0.003543
gaia__L2_076c8171-9b3b-49__claude,claude-sonnet-4-6,51,0.2966,0,725,2,0,0.00294
gaia__L2_076c8171-9b3b-49__claude,claude-sonnet-4-6,117,9.5699,0,944,3,0,0.004587
gaia__L2_076c8171-9b3b-49__claude,claude-sonnet-4-6,95,0.7794,0,1434,4,0,0.005727
gaia__L2_076c8171-9b3b-49__claude,claude-sonnet-4-6,275,0.7187,0,2295,5,0,0.01101
gaia__L2_076c8171-9b3b-49__claude,claude-sonnet-4-6,64,0.7166,0,3105,6,0,0.010275
gaia__L2_076c8171-9b3b-49__claude,claude-sonnet-4-6,402,0.0568,0,3224,7,0,0.015702
gaia__L2_076c8171-9b3b-49__claude,claude-sonnet-4-6,188,0.6038,0,3795,8,0,0.014205
gaia__L2_076c8171-9b3b-49__claude,claude-sonnet-4-6,123,0.0617,0,4046,9,0,0.013982999999999999
gaia__L2_076c8171-9b3b-49__claude,claude-sonnet-4-6,69,5.3109,0,4414,10,0,0.014277
gaia__L2_076c8171-9b3b-49__claude,claude-sonnet-4-6,46,2.0009,0,5083,11,0,0.015939
gaia__L2_076c8171-9b3b-49__claude,claude-sonnet-4-6,295,1.7226,0,7274,12,0,0.026247
gaia__L2_076c8171-9b3b-49__claude,claude-sonnet-4-6,354,0.4622,0,9535,13,0,0.033915
gaia__L2_076c8171-9b3b-49__claude,claude-sonnet-4-6,352,0.5025,0,9888,14,0,0.034943999999999996
gaia__L2_076c8171-9b3b-49__claude,claude-sonnet-4-6,340,0.7274,0,11033,15,0,0.038199
gaia__L2_076c8171-9b3b-49__claude,claude-sonnet-4-6,754,0.0675,0,11395,16,0,0.045495
gaia__L2_076c8171-9b3b-49__claude,claude-sonnet-4-6,1029,0.7666,0,13170,17,0,0.054944999999999994
gaia__L2_076c8171-9b3b-49__claude,claude-sonnet-4-6,500,0.7899,0,14462,18,0,0.050885999999999994
